git_commit,sequence_length,rows,input_family,dtype,scale,max_absolute_error,max_relative_error,max_row_sum_error,masked_positions_exactly_zero,contains_nan,contains_inf,shape_correct,dtype_correct,device_correct,pass_fail,rtol,atol,gpu_name,compute_capability,timestamp
ca87722a00ebf585cd788c67949e7c0b32dca788,33,66,dominant_negative,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.633075+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,normal,float32,0.125,7.450580596923828e-09,3.0011699436727213e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.634859+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,random_x10,float32,0.125,5.960464477539063e-08,2.339417193297777e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.636566+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,random_x100,float32,0.125,2.384185791015625e-07,3.404193478218076e-07,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.638456+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,random_x1000,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.640043+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,zeros,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.641678+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,equal,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.643425+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.645220+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,63,126,dominant_negative,float32,0.125,3.725290298461914e-09,1.9398387962610286e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.647377+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,normal,float32,0.125,3.725290298461914e-09,1.9702639519891818e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.649322+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,random_x10,float32,0.125,2.9802322387695312e-08,2.2612701400248625e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.650999+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,random_x100,float32,0.125,1.1920928955078125e-07,2.1914955539159564e-07,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.652815+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,random_x1000,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.654676+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,zeros,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.656562+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,equal,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.658482+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.660353+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,64,128,dominant_negative,float32,0.125,3.725290298461914e-09,1.7079456426927209e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.662254+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,normal,float32,0.125,5.587935447692871e-09,2.775740313154529e-07,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.664206+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,random_x10,float32,0.125,5.960464477539063e-08,2.9125678224772855e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.666074+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,random_x100,float32,0.125,2.384185791015625e-07,3.3417791200918145e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.668104+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,random_x1000,float32,0.125,1.1920928955078125e-07,1.817434451822919e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.670033+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,zeros,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.672123+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,equal,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.673970+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.675865+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,127,254,dominant_negative,float32,0.125,3.725290298461914e-09,2.4201921178246266e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.677969+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,normal,float32,0.125,5.960464477539063e-08,2.3717316821603163e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.679973+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,random_x10,float32,0.125,1.1920928955078125e-07,2.4923483010752534e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.681940+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,random_x100,float32,0.125,2.384185791015625e-07,3.5164353562322503e-07,2.980232238769531e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.683949+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,random_x1000,float32,0.125,1.1920928955078125e-07,2.143511750318794e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.685979+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,zeros,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.688181+00:00
