amdahl_model_prediction,amdahl_value_label,attention_values_label,git_commit,gpu_name,measured_attention_speedup,measured_softmax_fraction_of_explicit_attention,measured_softmax_speedup,sequence_length,softmax_values_label,status,timestamp
1.2432622166051948,MODEL_PREDICTION,MEASURED,ca87722a00ebf585cd788c67949e7c0b32dca788,Tesla T4,1.539005268273278,0.3908453743310411,2.0024773103081586,128,MEASURED,COMPLETE,2026-08-23T19:21:06.141359+00:00
1.0711052683805753,MODEL_PREDICTION,MEASURED,ca87722a00ebf585cd788c67949e7c0b32dca788,Tesla T4,1.7236841567796313,0.2326426701299273,1.3992894179138335,255,MEASURED,COMPLETE,2026-08-23T19:21:06.141429+00:00
1.3823973118592319,MODEL_PREDICTION,MEASURED,ca87722a00ebf585cd788c67949e7c0b32dca788,Tesla T4,2.3112639103189383,0.45183237412998956,2.5787545204394022,512,MEASURED,COMPLETE,2026-08-23T19:21:06.141477+00:00
1.8619068625901234,MODEL_PREDICTION,MEASURED,ca87722a00ebf585cd788c67949e7c0b32dca788,Tesla T4,1.8237121782602252,0.6864645969991444,3.0707651124512103,768,MEASURED,COMPLETE,2026-08-23T19:21:06.141519+00:00
2.0192714513242853,MODEL_PREDICTION,MEASURED,ca87722a00ebf585cd788c67949e7c0b32dca788,Tesla T4,1.7955062685288024,0.702263793447533,3.555911679140662,1024,MEASURED,COMPLETE,2026-08-23T19:21:06.141559+00:00
2.0745749659688264,MODEL_PREDICTION,MEASURED,ca87722a00ebf585cd788c67949e7c0b32dca788,Tesla T4,1.6875324146817228,0.6938683429437624,3.944791900541903,1536,MEASURED,COMPLETE,2026-08-23T19:21:06.141600+00:00
2.0981809325357714,MODEL_PREDICTION,MEASURED,ca87722a00ebf585cd788c67949e7c0b32dca788,Tesla T4,1.6886476621594229,0.7228934481227812,3.623584743624341,2048,MEASURED,COMPLETE,2026-08-23T19:21:06.141639+00:00
