implementation,git_commit,batch,heads,sequence_length,head_dimension,dtype,warmups,iterations,sample_index,latency_us,gpu_name,compute_capability,pytorch_version,cuda_version,timestamp
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,25,193.82399320602417,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,26,229.40799593925476,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,27,204.76800203323364,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,28,188.22400271892548,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,29,185.37600338459015,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,30,186.36800348758698,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,31,207.68000185489655,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,32,188.28800320625305,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,33,194.5600062608719,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,34,198.43199849128723,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,35,213.69600296020508,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,36,192.9599940776825,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,37,187.96800076961517,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
