-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    attention::custom_softmax_attention         2.94%     140.144us         7.29%     347.290us     347.290us       0.000us         0.00%     392.862us     392.862us           0 B           0 B           0 B     -17.00 MB             1  
                                    aten::empty_strided         0.19%       9.153us         0.19%       9.153us       9.153us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       8.00 MB       8.00 MB             1  
                                attention::pytorch_sdpa         1.29%      61.502us         5.56%     264.958us     264.958us       0.000us         0.00%     408.222us     408.222us           0 B           0 B           0 B      -1.00 MB             1  
                     aten::scaled_dot_product_attention         0.71%      33.963us         4.27%     203.456us     203.456us       0.000us         0.00%     408.222us     408.222us           0 B         -16 B       1.00 MB           0 B             1  
          aten::_scaled_dot_product_efficient_attention         1.64%      78.123us         3.56%     169.493us     169.493us       0.000us         0.00%     408.222us     408.222us          16 B           0 B       1.00 MB           0 B             1  
                                  cudaStreamIsCapturing         0.08%       3.860us         0.08%       3.860us       3.860us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                  cudaDeviceSynchronize         8.10%     385.981us         8.10%     385.981us     192.991us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.766ms
Self CUDA time total: 1.614ms

